districtid,weekid,dose1,dose2
AR_East Kameng,29,305,494
AR_East Kameng,30,558,753
AR_East Siang,1,74,0
AR_East Siang,2,263,0
AR_East Siang,3,289,0
AR_East Siang,4,287,76
AR_East Siang,5,348,266
AR_East Siang,6,227,209
AR_East Siang,7,447,164
AR_East Siang,8,625,252
AR_East Siang,9,922,137
AR_East Siang,10,2341,133
AR_East Siang,11,1403,314
AR_East Siang,12,1973,471
AR_East Siang,13,2339,786
AR_East Siang,14,1743,1431
AR_East Siang,15,1844,1623
AR_East Siang,16,1547,1730
AR_East Siang,17,856,878
AR_East Siang,18,1461,2
AR_East Siang,19,315,3
AR_East Siang,20,1812,7
AR_East Siang,21,1743,7
AR_East Siang,22,3487,21
AR_East Siang,23,10455,47
AR_East Siang,24,5556,436
AR_East Siang,25,5375,1797
AR_East Siang,26,1670,1365
AR_East Siang,27,900,1430
AR_East Siang,28,444,1119
AR_East Siang,29,325,586
AR_East Siang,30,244,790
AR_Kamle,1,73,0
AR_Kamle,2,73,0
AR_Kamle,3,0,0
AR_Kamle,4,22,0
AR_Kamle,5,0,30
AR_Kamle,6,52,86
AR_Kamle,7,38,26
AR_Kamle,8,1,0
AR_Kamle,9,32,20
AR_Kamle,10,49,43
AR_Kamle,11,120,41
AR_Kamle,12,228,3
AR_Kamle,13,182,30
AR_Kamle,14,160,42
AR_Kamle,15,216,68
AR_Kamle,16,366,114
AR_Kamle,17,101,32
AR_Kamle,18,471,1
AR_Kamle,19,86,1
AR_Kamle,20,16,0
AR_Kamle,21,205,0
AR_Kamle,22,195,0
AR_Kamle,23,359,0
AR_Kamle,24,774,7
AR_Kamle,25,515,197
AR_Kamle,26,671,123
AR_Kamle,27,384,149
AR_Kamle,28,238,144
AR_Kamle,29,341,105
AR_Kamle,30,231,275
AR_Kra Daadi,1,73,0
AR_Kra Daadi,2,62,0
AR_Kra Daadi,3,16,0
AR_Kra Daadi,4,54,0
AR_Kra Daadi,5,128,132
AR_Kra Daadi,6,5,30
AR_Kra Daadi,7,9,19
AR_Kra Daadi,8,35,37
AR_Kra Daadi,9,8,56
AR_Kra Daadi,10,156,17
AR_Kra Daadi,11,218,-6
AR_Kra Daadi,12,113,4
AR_Kra Daadi,13,341,15
AR_Kra Daadi,14,141,52
AR_Kra Daadi,15,236,126
