stateid,weekid,dose1,dose2
TN,12,414104,100097
TN,13,720085,195979
TN,14,283636,320484
TN,15,270486,379474
TN,16,203598,264816
TN,17,242942,238616
TN,18,225205,47683
TN,19,1235999,48075
TN,20,1064177,77276
TN,21,543584,48525
TN,22,1584864,108398
TN,23,1980335,192308
TN,24,1361857,225939
TN,25,496905,213673
TN,26,1315577,473058
TN,27,1189665,300951
TN,28,1435803,381568
TN,29,1504463,382514
TN,30,1109509,256784
TR,1,3242,0
TR,2,17993,0
TR,3,10893,0
TR,4,29275,334
TR,5,19365,11080
TR,6,7214,9588
TR,7,18629,7932
TR,8,25927,18620
TR,9,116361,19131
TR,10,303750,8267
TR,11,83174,3923
TR,12,85000,12390
TR,13,45278,22711
TR,14,54367,77270
TR,15,86924,162825
TR,16,45448,111604
TR,17,32583,40986
TR,18,59022,334
TR,19,36084,578
TR,20,46963,471
TR,21,19783,4493
TR,22,236415,24532
TR,23,510210,36598
TR,24,104894,40919
TR,25,59108,32856
TR,26,82326,44761
TR,27,69473,49589
TR,28,150211,43390
TR,29,45271,14927
TR,30,28407,26677
UP,1,28432,0
UP,2,402396,0
UP,3,205067,0
UP,4,226272,2
UP,5,272211,100269
UP,6,144485,287282
UP,7,204710,141651
UP,8,544744,91884
UP,9,1272671,274272
UP,10,1081781,125298
UP,11,1126447,45615
UP,12,1744325,171815
UP,13,1846548,371808
UP,14,677399,387326
UP,15,551585,372185
UP,16,583469,410587
UP,17,808617,480241
UP,18,1182001,84511
UP,19,1639131,105051
UP,20,2080422,177414
UP,21,2559576,167611
UP,22,2403130,228355
UP,23,4542151,298371
UP,24,1646890,498300
UP,25,3591625,977354
UP,26,2461828,724122
UP,27,3349507,687771
UP,28,3306246,581056
UP,29,4712487,601298
UP,30,3049900,788694
UT,1,2727,0
UT,2,20684,0
UT,3,46416,0
UT,4,39628,403
UT,5,28286,7886
UT,6,9846,12215
UT,7,42864,35259
UT,8,66264,29830
UT,9,119424,27835
UT,10,122378,10289
UT,11,225500,15864
UT,12,380519,39425
UT,13,219846,61996
UT,14,194108,91544
UT,15,155973,91535
UT,16,93767,156907
UT,17,196189,99421
UT,18,126923,618
UT,19,116421,2054
UT,20,130434,3882
UT,21,252104,7837
UT,22,218938,37386
UT,23,616128,35808
UT,24,238405,95017
UT,25,235014,127012
UT,26,136605,175502
UT,27,174450,150844
UT,28,260427,119842
UT,29,552522,138712
UT,30,472556,147531
WB,1,34570,0
WB,2,150464,0
WB,3,97473,0
WB,4,142469,549
WB,5,127184,36096
WB,6,292812,81853
WB,7,303868,87581
WB,8,576944,109131
WB,9,875811,113566
WB,10,938219,117059
WB,11,979278,82087
WB,12,1434138,182126
WB,13,535050,209534
WB,14,604881,473522
WB,15,409720,561052
WB,16,114160,633483
WB,17,118223,512524
WB,18,292745,89633
WB,19,984767,42811
WB,20,1457062,66154
WB,21,1357711,86651
WB,22,1014441,181399
WB,23,1444207,403181
WB,24,712866,621913
WB,25,530395,786563
WB,26,731189,921370
WB,27,811377,636723
WB,28,1207735,433792
WB,29,1842939,334494
WB,30,1547554,287030
