districtid,vaccineratio
MP_Sheopur,8.192391010018955
WB_Purba Medinipur,8.206506502846137
WB_Paschim Bardhaman,8.209368717042421
AS_Dhemaji,8.209588423470812
CT_Bametara,8.226384615384616
UP_Kasganj,8.232110168081212
TN_Sivaganga,8.239274935326243
KL_Wayanad,8.262417905742657
CT_Janjgir Champa,8.268749635504753
GJ_Anand,8.269807720534272
KA_Bengaluru Urban,8.275991414623578
PB_Faridkot,8.32733192251343
UP_Sultanpur,8.32878710098936
KL_Ernakulam,8.358525335512496
UP_Chitrakoot,8.365560121684368
KL_Idukki,8.409437585733881
MP_Chhindwara,8.435732804636267
TN_Tiruvannamalai,8.444216326244122
TN_Tiruppur,8.466186483513216
UP_Lalitpur,8.48568117492367
MH_Satara,8.500611212263445
WB_Purba Bardhaman,8.513596850537047
PB_Amritsar,8.535501769451715
HR_Fatehabad,8.537965400526513
WB_Paschim Medinipur,8.53871903592948
TN_Ramanathapuram,8.542303955086911
KA_Mysuru,8.569605811739244
GJ_Jamnagar,8.569677178578093
RJ_Bundi,8.580177476184263
UP_Bhadohi,8.589202073575251
WB_North 24 Parganas,8.6061780212491
TN_Thanjavur,8.609666868012264
KL_Kasaragod,8.610365071867198
GJ_Gandhinagar,8.650155061812312
KA_Bengaluru Rural,8.651360783541133
KA_Chikkamagaluru,8.668824416367702
UP_Gautam Buddha Nagar,8.67439002570791
UP_Unnao,8.688949954036396
TN_Dharmapuri,8.716858918927738
HR_Kurukshetra,8.73474619423033
TG_Komaram Bheem,8.737458841758668
JH_Simdega,8.763161858853657
KA_Bidar,8.796092023202963
CT_Jashpur,8.81382205716131
UP_Bulandshahr,8.846989251052284
TN_Kancheepuram,8.897064661513673
UP_Etah,8.911961074832172
CT_Uttar Bastar Kanker,8.964940888707705
UP_Farrukhabad,9.028593079060368
PB_Jalandhar,9.067454042671184
TN_Tenkasi,9.093013494511952
KA_Haveri,9.202844044590293
RJ_Sawai Madhopur,9.206715825887922
TN_Virudhunagar,9.247809046867346
TN_Nagapattinam,9.296763105127472
GJ_Bharuch,9.29742651053551
TN_Kanyakumari,9.31214103663335
GJ_Morbi,9.347662855983224
KA_Kalaburagi,9.351840473663632
CT_Bastar,9.36284975839982
TG_Bhadradri Kothagudem,9.384253304507267
MH_Thane,9.391405715774278
HR_Faridabad,9.405201199649083
KL_Thrissur,9.406623025090706
TN_Dindigul,9.451391769457484
TN_Thoothukkudi,9.455467571644043
TN_Thiruvallur,9.502447596334882
CT_Bijapur,9.511656326377139
MP_Khandwa,9.548180592991914
TN_Perambalur,9.60705202810466
AS_Golaghat,9.626925580386201
TN_Tirupathur,9.65786941938168
KA_Mandya,9.670043003873902
UP_Ambedkar Nagar,9.677124273456961
PB_Mansa,9.67866765771625
CT_Surajpur,9.683708072244748
TN_Salem,9.683864181222173
UT_Pithoragarh,9.701093846743522
CT_Baloda Bazar,9.71025273346478
UT_Dehradun,9.72204496099579
RJ_Barmer,9.778148723382637
MP_Ratlam,9.795550335865126
UP_Lakhimpur Kheri,9.888454261149182
KL_Malappuram,9.896812421679847
PB_Patiala,9.900565122160776
HR_Jind,9.902690228423685
CT_Dhamtari,9.904443861364884
AS_Karbi Anglong,9.922673267326733
PB_Kapurthala,9.93036896349468
TN_Ariyalur,10.000250920040147
GJ_Kutch,10.02082917313098
MP_Anuppur,10.072787723785167
UP_Siddharthnagar,10.093075246590423
UP_Hamirpur,10.174816686484345
KL_Pathanamthitta,10.223698607492306
